Date;Filière;Valeur (TWh);Nature
2014-01;"Production hydraulique";7,034639533891;Données Consolidées
2014-02;"Production hydraulique";7,064786514656;Données Consolidées
2014-03;"Production hydraulique";6,984440536949;Données Consolidées
2014-04;"Production hydraulique";5,786263851631;Données Consolidées
2014-05;"Production hydraulique";6,135081901023;Données Consolidées
2014-06;"Production hydraulique";4,962682604323;Données Consolidées
2014-07;"Production hydraulique";6,131025842262;Données Consolidées
2014-08;"Production hydraulique";5,273334897781;Données Consolidées
2014-09;"Production hydraulique";3,733771293807;Données Consolidées
2014-10;"Production hydraulique";3,757241677007;Données Consolidées
2014-11;"Production hydraulique";4,853922858355;Données Consolidées
2014-12;"Production hydraulique";5,729297941164;Données Consolidées
2015-01;"Production hydraulique";6,203325903133;Données Consolidées
2015-02;"Production hydraulique";6,3772892189;Données Consolidées
2015-03;"Production hydraulique";6,480549172385;Données Consolidées
2015-04;"Production hydraulique";5,728845515643;Données Consolidées
2015-05;"Production hydraulique";6,452224737918;Données Consolidées
2015-06;"Production hydraulique";5,589550623395;Données Consolidées
2015-07;"Production hydraulique";4,008137396331;Données Consolidées
2015-08;"Production hydraulique";3,410344410607;Données Consolidées
2015-09;"Production hydraulique";3,421187415148;Données Consolidées
2015-10;"Production hydraulique";3,873896780381;Données Consolidées
2015-11;"Production hydraulique";3,549972482574;Données Consolidées
2015-12;"Production hydraulique";3,657317523947;Données Consolidées
2016-01;"Production hydraulique";5,676766358149;Données Consolidées
2016-02;"Production hydraulique";6,939796386765;Données Consolidées
2016-03;"Production hydraulique";6,599527572951;Données Consolidées
2016-04;"Production hydraulique";6,461725228214;Données Consolidées
2016-05;"Production hydraulique";6,533701777164;Données Consolidées
2016-06;"Production hydraulique";7,157149687228;Données Consolidées
2016-07;"Production hydraulique";5,275702397734;Données Consolidées
2016-08;"Production hydraulique";3,854307189974;Données Consolidées
2016-09;"Production hydraulique";3,364324383004;Données Consolidées
2016-10;"Production hydraulique";3,056593947998;Données Consolidées
2016-11;"Production hydraulique";4,23961440261;Données Consolidées
2016-12;"Production hydraulique";4,474004966365;Données Consolidées
2017-01;"Production hydraulique";5,190193380738;Données Consolidées
2017-02;"Production hydraulique";4,533730248247;Données Consolidées
2017-03;"Production hydraulique";6,230751867588;Données Consolidées
2017-04;"Production hydraulique";4,144489700412;Données Consolidées
2017-05;"Production hydraulique";5,681809946758;Données Consolidées
2017-06;"Production hydraulique";5,05303113606;Données Consolidées
2017-07;"Production hydraulique";3,860121653777;Données Consolidées
2017-08;"Production hydraulique";3,471253535239;Données Consolidées
2017-09;"Production hydraulique";3,07240472185;Données Consolidées
2017-10;"Production hydraulique";2,717699210996;Données Consolidées
2017-11;"Production hydraulique";3,914307900223;Données Consolidées
2017-12;"Production hydraulique";5,301084300541;Données Consolidées
2018-01;"Production hydraulique";7,282318015495;Données Consolidées
2018-02;"Production hydraulique";7,145624436283;Données Consolidées
2018-03;"Production hydraulique";7,091014159521;Données Consolidées
2018-04;"Production hydraulique";6,926801210216;Données Consolidées
2018-05;"Production hydraulique";7,669843573731;Données Consolidées
2018-06;"Production hydraulique";7,532076253646;Données Consolidées
2018-07;"Production hydraulique";5,248934603143;Données Consolidées
2018-08;"Production hydraulique";3,873425100157;Données Consolidées
2018-09;"Production hydraulique";3,017641632311;Données Consolidées
2018-10;"Production hydraulique";2,913768060226;Données Consolidées
2018-11;"Production hydraulique";3,954562917473;Données Consolidées
2018-12;"Production hydraulique";5,146717464138;Données Consolidées
2019-01;"Production hydraulique";4,959895292553;Données Consolidées
2019-02;"Production hydraulique";5,027367684442;Données Consolidées
2019-03;"Production hydraulique";5,141943852027;Données Consolidées
2019-04;"Production hydraulique";4,479664121674;Données Consolidées
2019-05;"Production hydraulique";5,526376232983;Données Consolidées
2019-06;"Production hydraulique";5,734735977289;Données Consolidées
2019-07;"Production hydraulique";4,367765549022;Données Consolidées
2019-08;"Production hydraulique";3,733523167768;Données Consolidées
2019-09;"Production hydraulique";2,56055113276;Données Consolidées
2019-10;"Production hydraulique";3,771402464195;Données Consolidées
2019-11;"Production hydraulique";6,44664801984;Données Consolidées
2019-12;"Production hydraulique";7,823731682213;Données Consolidées
2020-01;"Production hydraulique";6,299329859324;Données Consolidées
2020-02;"Production hydraulique";6,272057613346;Données Consolidées
2020-03;"Production hydraulique";7,321267224201;Données Consolidées
2020-04;"Production hydraulique";5,059091900617;Données Consolidées
2020-05;"Production hydraulique";6,66250669804;Données Consolidées
2020-06;"Production hydraulique";6,34056986465;Données Consolidées
2020-07;"Production hydraulique";4,585009523831;Données Consolidées
2020-08;"Production hydraulique";3,673292474969;Données Consolidées
2020-09;"Production hydraulique";3,346188739191;Données Consolidées
2020-10;"Production hydraulique";5,137003121791;Données Consolidées
2020-11;"Production hydraulique";4,49626629959;Données Consolidées
2020-12;"Production hydraulique";5,737481608426;Données Consolidées
2021-01;"Production hydraulique";7,268982367002;Données Consolidées
2021-02;"Production hydraulique";6,847100274679;Données Consolidées
2021-03;"Production hydraulique";5,881466870672;Données Consolidées
2021-04;"Production hydraulique";3,973147523119;Données Consolidées
2021-05;"Production hydraulique";6,216259008004;Données Consolidées
2021-06;"Production hydraulique";6,180734267226;Données Consolidées
2021-07;"Production hydraulique";5,571181228816;Données Consolidées
2021-08;"Production hydraulique";4,380674628103;Données Consolidées
2021-09;"Production hydraulique";3,393283295936;Données Consolidées
2021-10;"Production hydraulique";2,998764652032;Données Consolidées
2021-11;"Production hydraulique";3,974061686757;Données Consolidées
2021-12;"Production hydraulique";5,290325202754;Données Consolidées
2022-01;"Production hydraulique";5,874375457776;Données Consolidées
2022-02;"Production hydraulique";4,375312778059;Données Consolidées
2022-03;"Production hydraulique";4,557519384322;Données Consolidées
2022-04;"Production hydraulique";5,060325015958;Données Consolidées
2022-05;"Production hydraulique";5,024761397055;Données Consolidées
2022-06;"Production hydraulique";4,006507914419;Données Consolidées
2022-07;"Production hydraulique";3,465020927829;Données Consolidées
2022-08;"Production hydraulique";2,690399643293;Données Consolidées
2022-09;"Production hydraulique";2,444918481542;Données Consolidées
2022-10;"Production hydraulique";3,038227637682;Données Consolidées
2022-11;"Production hydraulique";3,893077785443;Données Consolidées
2022-12;"Production hydraulique";5,19069028949;Données Consolidées
2023-01;"Production hydraulique";6,373296864879;Données Consolidées
2023-02;"Production hydraulique";3,592902807646;Données Consolidées
2023-03;"Production hydraulique";4,633182055736;Données Consolidées
2023-04;"Production hydraulique";4,591448955599;Données Consolidées
2023-05;"Production hydraulique";5,402470944334;Données Consolidées
2023-06;"Production hydraulique";5,780606885076;Données Consolidées
2023-07;"Production hydraulique";3,996524047369;Données Consolidées
2023-08;"Production hydraulique";3,588527979553;Données Consolidées
2023-09;"Production hydraulique";3,186928500713;Données Consolidées
2023-10;"Production hydraulique";3,590834234031;Données Consolidées
2023-11;"Production hydraulique";6,674770670804;Données Consolidées
2023-12;"Production hydraulique";7,426552262493;Données Consolidées
2024-01;"Production hydraulique";7,815827521475;Données Consolidées
2024-02;"Production hydraulique";6,355067975556;Données Consolidées
2024-03;"Production hydraulique";7,524687649862;Données Consolidées
2024-04;"Production hydraulique";6,155744238977;Données Consolidées
2024-05;"Production hydraulique";7,75385096019;Données Consolidées
2024-06;"Production hydraulique";6,674425529003;Données Consolidées
2024-07;"Production hydraulique";5,933207645122;Données Consolidées
2024-08;"Production hydraulique";4,269931577797;Données Consolidées
2024-09;"Production hydraulique";4,017228074196;Données Consolidées
2024-10;"Production hydraulique";6,517675081464;Données Consolidées
2024-11;"Production hydraulique";5,27165577904;Données Consolidées
2024-12;"Production hydraulique";6,772651083668;Données Consolidées
2025-01;"Production hydraulique";7,278224430615;Données Consolidées
2025-02;"Production hydraulique";6,503228609926;Données Consolidées
2025-03;"Production hydraulique";5,466748990289;Données Consolidées
2025-04;"Production hydraulique";5,08555405043;Données Consolidées
2025-05;"Production hydraulique";5,554040864488;Données Consolidées
2025-06;"Production hydraulique";5,203732679991;Données Consolidées
2025-07;"Production hydraulique";3,747492689121;Données Consolidées
2025-08;"Production hydraulique";3,380684325602;Données Consolidées
2025-09;"Production hydraulique";3,635718329919;Données Consolidées
2025-10;"Production hydraulique";4,142655186424;Données Consolidées
2025-11;"Production hydraulique";5,8055467048;Données Consolidées
2014-01;"Autre";0,047746389;Données Consolidées
2014-02;"Autre";0,041731952;Données Consolidées
2014-03;"Autre";0,049049;Données Consolidées
2014-04;"Autre";0,039571071;Données Consolidées
2014-05;"Autre";0,051432819;Données Consolidées
2014-06;"Autre";0,0481873;Données Consolidées
2014-07;"Autre";0,05241944;Données Consolidées
2014-08;"Autre";0,050608586;Données Consolidées
2014-09;"Autre";0,044302949;Données Consolidées
2014-10;"Autre";0,047254368;Données Consolidées
2014-11;"Autre";0,048821327;Données Consolidées
2014-12;"Autre";0,051834087;Données Consolidées
2015-01;"Autre";0,052683338;Données Consolidées
2015-02;"Autre";0,048081531;Données Consolidées
2015-03;"Autre";0,051939754;Données Consolidées
2015-04;"Autre";0,052707992;Données Consolidées
2015-05;"Autre";0,050176333;Données Consolidées
2015-06;"Autre";0,053418968;Données Consolidées
2015-07;"Autre";0,046112827;Données Consolidées
2015-08;"Autre";0,048422452;Données Consolidées
2015-09;"Autre";0,042472179;Données Consolidées
2015-10;"Autre";0,046063657;Données Consolidées
2015-11;"Autre";0,042982929;Données Consolidées
2015-12;"Autre";0,04397228;Données Consolidées
2016-01;"Autre";0,043207033;Données Consolidées
2016-02;"Autre";0,039552802;Données Consolidées
2016-03;"Autre";0,043398055;Données Consolidées
2016-04;"Autre";0,041446417;Données Consolidées
2016-05;"Autre";0,045917566;Données Consolidées
2016-06;"Autre";0,044794574;Données Consolidées
2016-07;"Autre";0,048054184;Données Consolidées
2016-08;"Autre";0,047258953;Données Consolidées
2016-09;"Autre";0,042945449;Données Consolidées
2016-10;"Autre";0,045567767;Données Consolidées
2016-11;"Autre";0,043190037;Données Consolidées
2016-12;"Autre";0,045831009;Données Consolidées
2017-01;"Autre";0,046646498;Données Consolidées
2017-02;"Autre";0,042954238;Données Consolidées
2017-03;"Autre";0,049289345;Données Consolidées
2017-04;"Autre";0,045762607;Données Consolidées
2017-05;"Autre";0,049732711;Données Consolidées
2017-06;"Autre";0,043923797;Données Consolidées
2017-07;"Autre";0,046927083;Données Consolidées
2017-08;"Autre";0,04646579;Données Consolidées
2017-09;"Autre";0,045441976;Données Consolidées
2017-10;"Autre";0,044647376;Données Consolidées
2017-11;"Autre";0,044709255;Données Consolidées
2017-12;"Autre";0,047372449;Données Consolidées
2018-01;"Autre";0,04851587;Données Consolidées
2018-02;"Autre";0,035360532;Données Consolidées
2018-03;"Autre";0,032372624;Données Consolidées
2018-04;"Autre";0,04059762;Données Consolidées
2018-05;"Autre";0,045779432;Données Consolidées
2018-06;"Autre";0,041678741;Données Consolidées
2018-07;"Autre";0,045445902;Données Consolidées
2018-08;"Autre";0,048882331;Données Consolidées
2018-09;"Autre";0,047300074;Données Consolidées
2018-10;"Autre";0,043257362;Données Consolidées
2018-11;"Autre";0,040782234;Données Consolidées
2018-12;"Autre";0,041342355;Données Consolidées
2019-01;"Autre";0,040716156;Données Consolidées
2019-02;"Autre";0,039169741;Données Consolidées
2019-03;"Autre";0,038037496;Données Consolidées
2019-04;"Autre";0,040771364;Données Consolidées
2019-05;"Autre";0,044989522;Données Consolidées
2019-06;"Autre";0,045679137;Données Consolidées
2019-07;"Autre";0,047684586;Données Consolidées
2019-08;"Autre";0,049970817;Données Consolidées
2019-09;"Autre";0,046223143;Données Consolidées
2019-10;"Autre";0,047843983;Données Consolidées
2019-11;"Autre";0,044279685;Données Consolidées
2019-12;"Autre";0,045936305;Données Consolidées
2020-01;"Autre";0,046955953;Données Consolidées
2020-02;"Autre";0,0433422;Données Consolidées
2020-03;"Autre";0,046304848;Données Consolidées
2020-04;"Autre";0,044571801;Données Consolidées
2020-05;"Autre";0,043966595;Données Consolidées
2020-06;"Autre";0,042408241;Données Consolidées
2020-07;"Autre";0,047693907;Données Consolidées
2020-08;"Autre";0,046059741;Données Consolidées
2020-09;"Autre";0,044777041;Données Consolidées
2020-10;"Autre";0,042857498;Données Consolidées
2020-11;"Autre";0,044018065;Données Consolidées
2020-12;"Autre";0,047282827;Données Consolidées
2021-01;"Autre";0,047218183;Données Consolidées
2021-02;"Autre";0,043131436;Données Consolidées
2021-03;"Autre";0,050321193;Données Consolidées
2021-04;"Autre";0,047290814;Données Consolidées
2021-05;"Autre";0,04720022;Données Consolidées
2021-06;"Autre";0,043476717;Données Consolidées
2021-07;"Autre";0,04504117;Données Consolidées
2021-08;"Autre";0,04416496;Données Consolidées
2021-09;"Autre";0,043250785;Données Consolidées
2021-10;"Autre";0,041230666;Données Consolidées
2021-11;"Autre";0,044689258;Données Consolidées
2021-12;"Autre";0,04641015;Données Consolidées
2022-01;"Autre";0,102334779409;Données Consolidées
2022-02;"Autre";0,078245430928;Données Consolidées
2022-03;"Autre";0,078881314642;Données Consolidées
2022-04;"Autre";0,109472636119;Données Consolidées
2022-05;"Autre";0,107369246366;Données Consolidées
2022-06;"Autre";0,057300768007;Données Consolidées
2022-07;"Autre";0,056749043983;Données Consolidées
2022-08;"Autre";0,059818996057;Données Consolidées
2022-09;"Autre";0,056206200439;Données Consolidées
2022-10;"Autre";0,058902116365;Données Consolidées
2022-11;"Autre";0,09040481475;Données Consolidées
2022-12;"Autre";0,1393179382;Données Consolidées
2023-01;"Autre";0,141724676883;Données Consolidées
2023-02;"Autre";0,118459136996;Données Consolidées
2023-03;"Autre";0,130722603929;Données Consolidées
2023-04;"Autre";0,091195391865;Données Consolidées
2023-05;"Autre";0,09400344129;Données Consolidées
2023-06;"Autre";0,082202594713;Données Consolidées
2023-07;"Autre";0,056458018443;Données Consolidées
2023-08;"Autre";0,062926447665;Données Consolidées
2023-09;"Autre";0,063186969029;Données Consolidées
2023-10;"Autre";0,076100139781;Données Consolidées
2023-11;"Autre";0,133457389945;Données Consolidées
2023-12;"Autre";0,132223088215;Données Consolidées
2024-01;"Autre";0,101835669846;Données Consolidées
2024-02;"Autre";0,105213697464;Données Consolidées
2024-03;"Autre";0,140553234193;Données Consolidées
2024-04;"Autre";0,096555337457;Données Consolidées
2024-05;"Autre";0,106160674131;Données Consolidées
2024-06;"Autre";0,061240317139;Données Consolidées
2024-07;"Autre";0,066108774588;Données Consolidées
2024-08;"Autre";0,064415979605;Données Consolidées
2024-09;"Autre";0,063892984353;Données Consolidées
2024-10;"Autre";0,092870559419;Données Consolidées
2024-11;"Autre";0,080375772056;Données Consolidées
2024-12;"Autre";0,094646045289;Données Consolidées
2025-01;"Autre";0,123184128145;Données Consolidées
2025-02;"Autre";0,096135497007;Données Consolidées
2025-03;"Autre";0,135916718397;Données Consolidées
2025-04;"Autre";0,140739364659;Données Consolidées
2025-05;"Autre";0,103464879413;Données Consolidées
2025-06;"Autre";0,057653347015;Données Consolidées
2025-07;"Autre";0,059414206301;Données Consolidées
2025-08;"Autre";0,062797759983;Données Consolidées
2025-09;"Autre";0,055618136474;Données Consolidées
2025-10;"Autre";0,062421601818;Données Consolidées
2025-11;"Autre";0,067105106212;Données Consolidées
2014-01;"Eclusée";1,218403400684;Données Consolidées
2014-02;"Eclusée";1,284501254812;Données Consolidées
2014-03;"Eclusée";1,214924493732;Données Consolidées
2014-04;"Eclusée";1,008778302271;Données Consolidées
2014-05;"Eclusée";1,001983049805;Données Consolidées
2014-06;"Eclusée";0,771860631209;Données Consolidées
2014-07;"Eclusée";0,801626414012;Données Consolidées
2014-08;"Eclusée";0,574601243855;Données Consolidées
2014-09;"Eclusée";0,378145333045;Données Consolidées
2014-10;"Eclusée";0,421576909055;Données Consolidées
2014-11;"Eclusée";0,718377537857;Données Consolidées
2014-12;"Eclusée";0,978574019485;Données Consolidées
2015-01;"Eclusée";0,837730809879;Données Consolidées
2015-02;"Eclusée";0,967501260194;Données Consolidées
2015-03;"Eclusée";1,140263185859;Données Consolidées
2015-04;"Eclusée";0,968408207634;Données Consolidées
2015-05;"Eclusée";0,987669253741;Données Consolidées
2015-06;"Eclusée";0,715373912058;Données Consolidées
2015-07;"Eclusée";0,430976527033;Données Consolidées
2015-08;"Eclusée";0,331732300493;Données Consolidées
2015-09;"Eclusée";0,410947236821;Données Consolidées
2015-10;"Eclusée";0,522486572004;Données Consolidées
2015-11;"Eclusée";0,413088478006;Données Consolidées
2015-12;"Eclusée";0,436309274513;Données Consolidées
2016-01;"Eclusée";0,924017046007;Données Consolidées
2016-02;"Eclusée";1,25261796305;Données Consolidées
2016-03;"Eclusée";1,159126260724;Données Consolidées
2016-04;"Eclusée";1,125684836145;Données Consolidées
2016-05;"Eclusée";1,07182526367;Données Consolidées
2016-06;"Eclusée";1,153565930238;Données Consolidées
2016-07;"Eclusée";0,575227498965;Données Consolidées
2016-08;"Eclusée";0,314046389263;Données Consolidées
2016-09;"Eclusée";0,316383555774;Données Consolidées
2016-10;"Eclusée";0,340559716656;Données Consolidées
2016-11;"Eclusée";0,598430848415;Données Consolidées
2016-12;"Eclusée";0,628782825374;Données Consolidées
2017-01;"Eclusée";0,719445346797;Données Consolidées
2017-02;"Eclusée";0,780135124255;Données Consolidées
2017-03;"Eclusée";1,114349204675;Données Consolidées
2017-04;"Eclusée";0,725070842464;Données Consolidées
2017-05;"Eclusée";0,877009433332;Données Consolidées
2017-06;"Eclusée";0,647772888516;Données Consolidées
2017-07;"Eclusée";0,453589789278;Données Consolidées
2017-08;"Eclusée";0,3037413789;Données Consolidées
2017-09;"Eclusée";0,28897129398;Données Consolidées
2017-10;"Eclusée";0,256626548748;Données Consolidées
2017-11;"Eclusée";0,431204096474;Données Consolidées
2017-12;"Eclusée";0,811043684418;Données Consolidées
2018-01;"Eclusée";1,503628998573;Données Consolidées
2018-02;"Eclusée";1,199832140573;Données Consolidées
2018-03;"Eclusée";1,283508251257;Données Consolidées
2018-04;"Eclusée";1,269527250634;Données Consolidées
2018-05;"Eclusée";1,359354258358;Données Consolidées
2018-06;"Eclusée";1,223733310022;Données Consolidées
2018-07;"Eclusée";0,683651049326;Données Consolidées
2018-08;"Eclusée";0,43662159516;Données Consolidées
2018-09;"Eclusée";0,343599285356;Données Consolidées
2018-10;"Eclusée";0,349163111823;Données Consolidées
2018-11;"Eclusée";0,620266621068;Données Consolidées
2018-12;"Eclusée";0,728139604502;Données Consolidées
2019-01;"Eclusée";0,629944556724;Données Consolidées
2019-02;"Eclusée";0,789696156894;Données Consolidées
2019-03;"Eclusée";0,786240904773;Données Consolidées
2019-04;"Eclusée";0,699068251336;Données Consolidées
2019-05;"Eclusée";0,91669214822;Données Consolidées
2019-06;"Eclusée";0,800519660351;Données Consolidées
2019-07;"Eclusée";0,469408425386;Données Consolidées
2019-08;"Eclusée";0,305796326165;Données Consolidées
2019-09;"Eclusée";0,228829188463;Données Consolidées
2019-10;"Eclusée";0,489564323523;Données Consolidées
2019-11;"Eclusée";1,142738208039;Données Consolidées
2019-12;"Eclusée";1,581108917875;Données Consolidées
2020-01;"Eclusée";0,999545033667;Données Consolidées
2020-02;"Eclusée";0,903818757999;Données Consolidées
2020-03;"Eclusée";1,253357310496;Données Consolidées
2020-04;"Eclusée";0,847306157333;Données Consolidées
2020-05;"Eclusée";1,091813048997;Données Consolidées
2020-06;"Eclusée";0,87629318217;Données Consolidées
2020-07;"Eclusée";0,522259105836;Données Consolidées
2020-08;"Eclusée";0,361158605162;Données Consolidées
2020-09;"Eclusée";0,385601851501;Données Consolidées
2020-10;"Eclusée";0,800106483336;Données Consolidées
2020-11;"Eclusée";0,626585395832;Données Consolidées
2020-12;"Eclusée";0,963747102497;Données Consolidées
2021-01;"Eclusée";1,313153638164;Données Consolidées
2021-02;"Eclusée";1,311438747832;Données Consolidées
2021-03;"Eclusée";0,935264936672;Données Consolidées
2021-04;"Eclusée";0,594480656657;Données Consolidées
2021-05;"Eclusée";0,966266017991;Données Consolidées
2021-06;"Eclusée";0,785808696341;Données Consolidées
2021-07;"Eclusée";0,728268335328;Données Consolidées
2021-08;"Eclusée";0,427879345161;Données Consolidées
2021-09;"Eclusée";0,388384210144;Données Consolidées
2021-10;"Eclusée";0,350164347501;Données Consolidées
2021-11;"Eclusée";0,5171338305;Données Consolidées
2021-12;"Eclusée";0,846272535173;Données Consolidées
2022-01;"Eclusée";0,940386711338;Données Consolidées
2022-02;"Eclusée";0,603607057388;Données Consolidées
2022-03;"Eclusée";0,725574393122;Données Consolidées
2022-04;"Eclusée";0,818849574082;Données Consolidées
2022-05;"Eclusée";0,767948161003;Données Consolidées
2022-06;"Eclusée";0,461636482253;Données Consolidées
2022-07;"Eclusée";0,332744074674;Données Consolidées
2022-08;"Eclusée";0,219702433341;Données Consolidées
2022-09;"Eclusée";0,192065200999;Données Consolidées
2022-10;"Eclusée";0,258342664989;Données Consolidées
2022-11;"Eclusée";0,44165572196;Données Consolidées
2022-12;"Eclusée";0,682934196619;Données Consolidées
2023-01;"Eclusée";0,862454419502;Données Consolidées
2023-02;"Eclusée";0,434187024483;Données Consolidées
2023-03;"Eclusée";0,716186450499;Données Consolidées
2023-04;"Eclusée";0,700148858526;Données Consolidées
2023-05;"Eclusée";0,852053158034;Données Consolidées
2023-06;"Eclusée";0,856012444962;Données Consolidées
2023-07;"Eclusée";0,420430965081;Données Consolidées
2023-08;"Eclusée";0,359858569059;Données Consolidées
2023-09;"Eclusée";0,283384864298;Données Consolidées
2023-10;"Eclusée";0,452891093132;Données Consolidées
2023-11;"Eclusée";1,058342022016;Données Consolidées
2023-12;"Eclusée";1,259814769549;Données Consolidées
2024-01;"Eclusée";1,138509360432;Données Consolidées
2024-02;"Eclusée";0,917972848248;Données Consolidées
